tile_name,patch_file,lon_center,lat_center
8602837_3328677.tif,8601499.9961_3330014.3695.png,8601499.996078495,3330014.3694799384
8602837_3328677.tif,8601805.7442_3330014.3695.png,8601805.744191594,3330014.3694799384
8602837_3328677.tif,8602111.4923_3330014.3695.png,8602111.49230469,3330014.3694799384
8602837_3328677.tif,8602417.2404_3330014.3695.png,8602417.24041779,3330014.3694799384
8602837_3328677.tif,8602722.9885_3330014.3695.png,8602722.988530887,3330014.3694799384
8602837_3328677.tif,8603028.7366_3330014.3695.png,8603028.736643985,3330014.3694799384
8602837_3328677.tif,8603334.4848_3330014.3695.png,8603334.484757084,3330014.3694799384
8602837_3328677.tif,8603640.2329_3330014.3695.png,8603640.23287018,3330014.3694799384
8602837_3328677.tif,8603945.9810_3330014.3695.png,8603945.98098328,3330014.3694799384
8602837_3328677.tif,8604175.2921_3330014.3695.png,8604175.292068101,3330014.3694799384
8602837_3328677.tif,8601499.9961_3329708.6214.png,8601499.996078495,3329708.6213668403
8602837_3328677.tif,8601805.7442_3329708.6214.png,8601805.744191594,3329708.6213668403
8602837_3328677.tif,8602111.4923_3329708.6214.png,8602111.49230469,3329708.6213668403
8602837_3328677.tif,8602417.2404_3329708.6214.png,8602417.24041779,3329708.6213668403
8602837_3328677.tif,8602722.9885_3329708.6214.png,8602722.988530887,3329708.6213668403
8602837_3328677.tif,8603028.7366_3329708.6214.png,8603028.736643985,3329708.6213668403
8602837_3328677.tif,8603334.4848_3329708.6214.png,8603334.484757084,3329708.6213668403
8602837_3328677.tif,8603640.2329_3329708.6214.png,8603640.23287018,3329708.6213668403
8602837_3328677.tif,8603945.9810_3329708.6214.png,8603945.98098328,3329708.6213668403
8602837_3328677.tif,8604175.2921_3329708.6214.png,8604175.292068101,3329708.6213668403
8602837_3328677.tif,8601499.9961_3329402.8733.png,8601499.996078495,3329402.8732537422
8602837_3328677.tif,8601805.7442_3329402.8733.png,8601805.744191594,3329402.8732537422
8602837_3328677.tif,8602111.4923_3329402.8733.png,8602111.49230469,3329402.8732537422
8602837_3328677.tif,8602417.2404_3329402.8733.png,8602417.24041779,3329402.8732537422
8602837_3328677.tif,8602722.9885_3329402.8733.png,8602722.988530887,3329402.8732537422
8602837_3328677.tif,8603028.7366_3329402.8733.png,8603028.736643985,3329402.8732537422
8602837_3328677.tif,8603334.4848_3329402.8733.png,8603334.484757084,3329402.8732537422
8602837_3328677.tif,8603640.2329_3329402.8733.png,8603640.23287018,3329402.8732537422
8602837_3328677.tif,8603945.9810_3329402.8733.png,8603945.98098328,3329402.8732537422
8602837_3328677.tif,8604175.2921_3329402.8733.png,8604175.292068101,3329402.8732537422
