tile_name,lon_center,lat_center
8602837_3328677.tif,8601499.996078495,3330014.3694799384
8602837_3328677.tif,8601805.744191594,3330014.3694799384
8602837_3328677.tif,8602111.49230469,3330014.3694799384
8602837_3328677.tif,8602417.24041779,3330014.3694799384
8602837_3328677.tif,8602722.988530887,3330014.3694799384
8602837_3328677.tif,8603028.736643985,3330014.3694799384
8602837_3328677.tif,8603334.484757084,3330014.3694799384
8602837_3328677.tif,8603640.23287018,3330014.3694799384
8602837_3328677.tif,8603945.98098328,3330014.3694799384
8602837_3328677.tif,8604175.292068101,3330014.3694799384
8602837_3328677.tif,8601499.996078495,3329708.6213668403
8602837_3328677.tif,8601805.744191594,3329708.6213668403
8602837_3328677.tif,8602111.49230469,3329708.6213668403
8602837_3328677.tif,8602417.24041779,3329708.6213668403
8602837_3328677.tif,8602722.988530887,3329708.6213668403
8602837_3328677.tif,8603028.736643985,3329708.6213668403
8602837_3328677.tif,8603334.484757084,3329708.6213668403
8602837_3328677.tif,8603640.23287018,3329708.6213668403
8602837_3328677.tif,8603945.98098328,3329708.6213668403
8602837_3328677.tif,8604175.292068101,3329708.6213668403
8602837_3328677.tif,8601499.996078495,3329402.8732537422
8602837_3328677.tif,8601805.744191594,3329402.8732537422
8602837_3328677.tif,8602111.49230469,3329402.8732537422
8602837_3328677.tif,8602417.24041779,3329402.8732537422
8602837_3328677.tif,8602722.988530887,3329402.8732537422
8602837_3328677.tif,8603028.736643985,3329402.8732537422
8602837_3328677.tif,8603334.484757084,3329402.8732537422
8602837_3328677.tif,8603640.23287018,3329402.8732537422
8602837_3328677.tif,8603945.98098328,3329402.8732537422
8602837_3328677.tif,8604175.292068101,3329402.8732537422
8602837_3328677.tif,8601499.996078495,3329097.1251406446
8602837_3328677.tif,8601805.744191594,3329097.1251406446
8602837_3328677.tif,8602111.49230469,3329097.1251406446
8602837_3328677.tif,8602417.24041779,3329097.1251406446
8602837_3328677.tif,8602722.988530887,3329097.1251406446
8602837_3328677.tif,8603028.736643985,3329097.1251406446
8602837_3328677.tif,8603334.484757084,3329097.1251406446
8602837_3328677.tif,8603640.23287018,3329097.1251406446
8602837_3328677.tif,8603945.98098328,3329097.1251406446
8602837_3328677.tif,8604175.292068101,3329097.1251406446
8602837_3328677.tif,8601499.996078495,3328791.377027547
8602837_3328677.tif,8601805.744191594,3328791.377027547
8602837_3328677.tif,8602111.49230469,3328791.377027547
8602837_3328677.tif,8602417.24041779,3328791.377027547
8602837_3328677.tif,8602722.988530887,3328791.377027547
8602837_3328677.tif,8603028.736643985,3328791.377027547
8602837_3328677.tif,8603334.484757084,3328791.377027547
8602837_3328677.tif,8603640.23287018,3328791.377027547
8602837_3328677.tif,8603945.98098328,3328791.377027547
8602837_3328677.tif,8604175.292068101,3328791.377027547
8602837_3328677.tif,8601499.996078495,3328485.628914449
8602837_3328677.tif,8601805.744191594,3328485.628914449
8602837_3328677.tif,8602111.49230469,3328485.628914449
8602837_3328677.tif,8602417.24041779,3328485.628914449
8602837_3328677.tif,8602722.988530887,3328485.628914449
8602837_3328677.tif,8603028.736643985,3328485.628914449
8602837_3328677.tif,8603334.484757084,3328485.628914449
8602837_3328677.tif,8603640.23287018,3328485.628914449
8602837_3328677.tif,8603945.98098328,3328485.628914449
8602837_3328677.tif,8604175.292068101,3328485.628914449
8602837_3328677.tif,8601499.996078495,3328179.880801351
8602837_3328677.tif,8601805.744191594,3328179.880801351
8602837_3328677.tif,8602111.49230469,3328179.880801351
8602837_3328677.tif,8602417.24041779,3328179.880801351
8602837_3328677.tif,8602722.988530887,3328179.880801351
8602837_3328677.tif,8603028.736643985,3328179.880801351
8602837_3328677.tif,8603334.484757084,3328179.880801351
8602837_3328677.tif,8603640.23287018,3328179.880801351
8602837_3328677.tif,8603945.98098328,3328179.880801351
8602837_3328677.tif,8604175.292068101,3328179.880801351
8602837_3328677.tif,8601499.996078495,3327874.132688253
8602837_3328677.tif,8601805.744191594,3327874.132688253
8602837_3328677.tif,8602111.49230469,3327874.132688253
8602837_3328677.tif,8602417.24041779,3327874.132688253
8602837_3328677.tif,8602722.988530887,3327874.132688253
8602837_3328677.tif,8603028.736643985,3327874.132688253
8602837_3328677.tif,8603334.484757084,3327874.132688253
8602837_3328677.tif,8603640.23287018,3327874.132688253
8602837_3328677.tif,8603945.98098328,3327874.132688253
8602837_3328677.tif,8604175.292068101,3327874.132688253
8602837_3328677.tif,8601499.996078495,3327568.3845751556
8602837_3328677.tif,8601805.744191594,3327568.3845751556
